Organization Name,Organization Name URL,Growth Category,IPO Status,Company Type,Number of Employees,Acquisition Status,Last Funding Type,Last Funding Date,Investor Type,Founded Date,Founded Date Precision,Operating Status,Actively Hiring,Investment Stage,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Most Recent Valuation Range,Growth Confidence,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Industries,Headquarters Location,Number of Investments
The VERT,https://www.crunchbase.com/organization/the-vert,,Private,For Profit,1-10,,Pre-Seed,2024-09-01,,2021-01-01,year,Active,,,1,3,Seed,,GBP,,,GBP,,Pre-Seed,,GBP,,2192645,USD,2192645,European Union,1,"Europe, Middle East, and Africa (EMEA)","Information Technology, Real Estate, Software, Sustainability",,,,,,"Architecture, Carbon Capture, Construction, Green Building, GreenTech, Information Technology, SaaS, Software, Sustainability","London, England, United Kingdom",
Rise People,https://www.crunchbase.com/organization/paysavvy,,Private,For Profit,101-250,Made Acquisitions,Seed,2020-02-01,,2011-10-01,day,Active,,,1,7,Seed,,CAD,,,CAD,,Seed,,CAD,,1500000,USD,1500000,"Espresso Capital, TIMIA Capital, Startup Edmonton",3,,"Administrative Services, Financial Services, Other, Software",,,,,,"B2B, Human Resources, InsurTech, Software","Burnaby, British Columbia, Canada",
Bolt Insight,https://www.crunchbase.com/organization/bolt-insight,,Private,For Profit,11-50,,Seed,2023-08-01,,2018-05-11,day,Active,,,5,3,Seed,,EUR,,,EUR,,Seed,1800000,EUR,1916218,1800000,EUR,1916218,212,1,"Europe, Middle East, and Africa (EMEA)","Data and Analytics, Design",,,,,,Market Research,"London, England, United Kingdom",
Pluvo,https://www.crunchbase.com/organization/pluvo-5e0c,,Private,For Profit,1-10,,Pre-Seed,2024-09-01,,2023-10-01,day,Active,,,2,5,Seed,,CAD,,,CAD,,Pre-Seed,175000,CAD,128924,840000,CAD,618795,"Mitacs, MakerLaunch",2,Great Lakes,"Financial Services, Professional Services, Software",,,,,,"Accounting, Finance, FinTech, SaaS, Software","Ottawa, Ontario, Canada",
SOORT AG,https://www.crunchbase.com/organization/netandbuy-com-ag,,Private,For Profit,1-10,,Pre-Seed,2024-03-15,,2022-12-01,month,Active,,,2,3,Seed,,CHF,,,CHF,,Pre-Seed,1500000,CHF,1601745,1500000,CHF,1601745,,,"Europe, Middle East, and Africa (EMEA)","Artificial Intelligence (AI), Commerce and Shopping, Community and Lifestyle, Consumer Goods, Data and Analytics, Information Technology, Internet Services, Other, Science and Engineering, Social Impact, Software, Sustainability",,,,,,"Artificial Intelligence (AI), B2C, E-Commerce, E-Commerce Platforms, Green Consumer Goods, Information Technology, Social Entrepreneurship, Sustainability","Zürich, Zurich, Switzerland",
NUWE,https://www.crunchbase.com/organization/nuwe-508d,,Private,For Profit,11-50,,Seed,2023-12-01,,2021-01-01,year,Active,,,4,3,Seed,,EUR,,,EUR,,Seed,1395734,USD,1395734,1395734,USD,1395734,"IESE Business School, BackFund, Asterius, Demium Capital",4,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Software",,,,,,"Analytics, Human Resources, Predictive Analytics, Software","Barcelona, Catalonia, Spain",
ARROE,https://www.crunchbase.com/organization/arroe,,Private,For Profit,1-10,,Convertible Note,2021-01-27,,2016-03-30,day,Active,,,4,7,Seed,830000,GBP,1134663,,GBP,,Seed,628750,GBP,823767,2085302,USD,2085302,"Crowdcube, Future Fund, Loyal VC, Steve Pankhurst, Roger Bamford",5,"Europe, Middle East, and Africa (EMEA)","Data and Analytics, Energy, Internet Services, Software, Sustainability",,,,,,"Battery, Big Data, CleanTech, Internet of Things, Software","London, England, United Kingdom",
Spheron ABU,https://www.crunchbase.com/organization/spheron,Growing,Private,Non-profit,11-50,,Seed,2022-05-01,,2022-01-01,year,Active,,,,2,Seed,1000,IDR,,1000,IDR,,Seed,1000,IDR,,1000,IDR,,"3one4 Capital, iSeed, Alpha Wave Global, Zee Prime Capital, Tykhe Block Ventures",8,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)","Hardware, Information Technology, Internet Services, Software",,,,,,"Cloud Computing, Cloud Infrastructure, Information Technology, Software","Tel Aviv, Tel Aviv, Israel",
Deeva,https://www.crunchbase.com/organization/deeva,,Private,For Profit,1-10,,Seed,2024-01-18,,2023-04-13,day,Active,,,,2,Seed,,EUR,,,EUR,,Seed,150000,EUR,163800,150000,EUR,163800,IH1,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Consumer Goods, Real Estate",,,,,,"Beauty, Home Services","Torino, Piemonte, Italy",
Bubbo,https://www.crunchbase.com/organization/bubbo,,Private,For Profit,1-10,,Seed,2023-10-01,,2019-08-21,day,Active,,,4,5,Seed,,EUR,,,EUR,,Seed,325500,EUR,352005,325500,EUR,352005,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Content and Publishing, Media and Entertainment, Video",,,,,,"Media and Entertainment, Video Streaming","Zaragoza, Aragon, Spain",
